id	category	scope	statement	validation	evidence	status
ASM-001	assembly	kernel-entry-exit	Handwritten entry, interrupt, context-restore, and low-level hardware assembly implements the SavedContext and ABI contracts exactly.	cargo test -p kernel-hal arch::idt::handlers::tests::general_exception_bridge_aligns_every_rust_call_boundary -- --exact	kernel/hal/src/interrupt_stubs.rs	assumed-reviewed
HW-001	hardware	x86-64-platform	CPU, MMU, interrupt controller, clocks, and memory obey their architectural specifications and operate without physical tampering.	QEMU acceptance plus future physical qualification	docs/ai/contracts-infra.md	environment-assumption
BOOT-001	boot	boot-loader	GRUB loads the exact signed multiboot image and firmware supplies admitted tables without mutating the measured image.	grub-file plus detached GPG verification	docs/ai/commands.md	validated-boundary
DMA-001	dma	dvm-and-vfio	DMA reaches only explicitly mapped IOMMU or launch-private shared-memory apertures; a physical device outside those mappings is not covered.	cargo xtask verify-dvm plus hostd preflight policy	formal/dma-iommu-isolation/DmaIommuIsolation.tla	validated-boundary
TOOL-001	toolchain	rust-build	The compiler, linker, assembler, boot-image tools, and proof runners execute correctly; RustOS does not currently binary-verify their output.	pinned workspace tools, hooks, signatures, and exact source/artifact hashes	docs/ai/contracts-infra.md	assumed-controlled
DVM-001	external-kernel	linux-dvm	The signed Linux DVM kernel and its built-in drivers satisfy their Linux ABI and hardware contracts after artifact admission.	cargo xtask verify-dvm plus authenticated runtime handshake	docs/ai/contracts-abi.md	assumed-controlled
TRACE-001	observability	runtime-evidence	Kernel debugcon, DVM serial, and host clocks preserve every mandatory acceptance marker used by the selected product scenario; mandatory SMP records are fixed-buffer, serialized, self-framed, checksummed, and accepted only as complete canonical records, while optional diagnostic events may be bounded or sampled.	bash formal/run-runtime-traces.sh	formal/check-kvm-runtime-trace.py	validated-boundary
QEMU-001	hypervisor	qemu-kvm	QEMU and KVM implement the virtual CPU and devices used by the evidence profile correctly.	two consecutive bounded interactive KVM proofs plus negative storage fault proof	docs/ai/commands.md	environment-assumption
PHY-001	physical-hardware	physical-machine	Physical boot, interrupt remapping, storage controllers, input devices, display scanout, reset, and firmware behavior are outside the current QEMU evidence profile.	separate hardware qualification required	docs/ai/physical-gpu-status.md	excluded
SIDE-001	side-channels	timing-and-microarchitecture	Current functional, integrity, availability, and latency contracts do not prove confidentiality against cache, timing, power, or speculative-execution side channels.	separate side-channel threat model and hardware evidence required	docs/ai/contracts-infra.md	excluded
