# model	role	whole_flow	rationale
authority-identity-lifecycle/AuthorityIdentityLifecycle	refinement	root-authority	Non-reusable process and task identities refine root and delegated authority lifetime.
capability-derivation-lifecycle/CapabilityDerivationLifecycle	refinement	capability-derivation-lifecycle	Typed rights attenuation and independent object, lease, and revoke epochs refine capability derivation and terminal stale rejection.
atomic-process-activation-batch/AtomicProcessActivationBatch	refinement	atomic-process-activation-batch	Exact requester binding, pre-lock target ProcessIdentity snapshots, final-lock PID/process-generation/MM-generation revalidation, lock-held one-shot consumption before atomic runnable publication, and requester-exit revoke refine startup cohort activation.
cpu-online-lifecycle/CpuOnlineLifecycle	refinement	cpu-online-lifecycle	A sealed BSP MTRR/PAT/cache baseline precedes every reset-state AP no-fill restore, cache enable, exact readback, private architecture, scheduler readiness, and Online dispatch; stale generation and unsupported in-boot restart fail-stop until reboot.
cpu-affinity-observation/CpuAffinityObservation	refinement	cpu-affinity-observation	Kernel-stamped dense Online topology and strict service-side validation refine Linux and Windows logical processor observations without exposing raw APIC identity.
task-affinity-lifecycle/TaskAffinityLifecycle	refinement	task-affinity-lifecycle	Nonempty Online-subset task and process masks, exact target ownership, forced migration, previous-mask return, fork inheritance, exec preservation, and current-processor observation refine Linux and Windows affinity ABI.
clocksource-deadline/ClocksourceDeadline	refinement	monotonic-deadline-lifecycle	The clocksource model proves the deadline flow's time-domain and catch-up invariants.
dvm-input-ring/DvmInputRing	refinement	dvm-input-ingress	Two authorized broker callers contend for one exact drain owner while cursor, reset, and epoch transitions remain single-consumer.
dvm-network-ring/DvmNetworkRing	refinement	dvm-network-ingress	RustOS installation requires one exact prefetchable WB atomic-control aperture, Linux readiness requires its separate WB mapping, and all bounded producer/consumer activity follows that publication.
dvm-transport-lifecycle/DvmTransportLifecycle	refinement	dvm-input-ingress	Packed epoch-state activation competes with drain in one CAS word; mapping publication precedes Active and reset/unmap follows exact claim quiescence.
exception-retirement-lifecycle/ExceptionRetirementLifecycle	refinement	exception-retirement	Dedicated IST and lock-free NMI entry plus scalar-only user-fault diagnostics refine exception containment without untrusted memory probes.
ipc-handle-transfer/IpcHandleTransfer	refinement	ipc-handle-transfer	The typed handle lifecycle is preceded by a canonical nonzero integer-ticket parser and exact one-shot registry lookup.
ipc-fast-handoff/IpcFastHandoff	refinement	scheduler-dispatch	An exact BlockedOnRecv endpoint epoch refines atomic sender-to-reply and receiver-to-direct custody with one bounded token or complete Local fallback.
ipc-transfer-authority/IpcTransferAuthority	refinement	ipc-handle-transfer	Provider-accepted bytes own the stream frontier; receiver-set epoch, service, channel, direction, exact position, and invisible copyout reservations bind one-shot descriptor authority.
deferred-start/DeferredStart	refinement	deferred-process-activation	Suspended creation and one-shot activation refine the process activation transaction.
devmgrd-sessiond-isolation/DevmgrdSessiondIsolation	refinement	service-call-authority	Bounded policy-worker isolation refines nested service-call progress and cancellation.
dma-iommu-isolation/DmaIommuIsolation	refinement	boot-storage-handoff	IOMMU ownership and DMA revocation refine physical device handoff.
driver-domain-fleet/DriverDomainFleet	refinement	boot-storage-handoff	Signed fleet exclusivity refines DVM provider admission and retirement.
dual-abi-byte-parser/DualAbiByteParser	refinement	executable-image-admission	Bounded byte parsing refines native ELF and PE image admission.
dvm-absolute-pointer/DvmAbsolutePointer	refinement	dvm-input-ingress	Absolute pointer validation refines authenticated input ingress.
dvm-agent-readiness/DvmAgentReadiness	refinement	dvm-control-ingress	Agent publication and process-lifetime readiness refine DVM control admission.
dvm-amdgpu-evidence/DvmAmdgpuEvidence	evidence	gpu-frame-lifecycle	AMDGPU evidence is an acceptance witness for the production frame lifecycle.
dvm-amdgpu-supply/DvmAmdgpuSupply	refinement	gpu-frame-lifecycle	Driver supply and exact device ownership refine GPU provider admission.
dvm-atomic-scanout/DvmAtomicScanout	refinement	gpu-frame-lifecycle	Atomic scanout ownership refines frame commit and rollback.
dvm-commercial-lifecycle/DvmCommercialLifecycle	refinement	boot-storage-handoff	Durable DVM identity and quarantine ordering refine device handoff recovery.
dvm-control-relay/DvmControlRelay	refinement	dvm-control-ingress	Relay generation and cancellation refine authenticated DVM control ingress.
dvm-display-driver-supply/DvmDisplayDriverSupply	refinement	gpu-frame-lifecycle	Display driver supply refines real-provider readiness.
dvm-display-scheduler/DvmDisplayScheduler	refinement	gpu-frame-lifecycle	Display scheduling budgets refine frame admission and completion.
dvm-gpu-admission/DvmGpuAdmission	refinement	gpu-frame-lifecycle	GPU authority and generation checks refine provider admission.
dvm-gpu-atlas-transport/DvmGpuAtlasTransport	refinement	gpu-frame-lifecycle	Atlas bounds and ownership refine frame payload transport.
dvm-gpu-proof-scheduler/DvmGpuProofScheduler	evidence	gpu-frame-lifecycle	Proof scheduling binds runtime evidence to the production frame lifecycle.
dvm-input-revocation/DvmInputRevocation	refinement	dvm-input-ingress	Provider revoke and stale-generation denial refine input ingress.
dvm-input-selftest/DvmInputSelftest	evidence	dvm-input-ingress	Self-test evidence exercises the same authenticated input transport.
dvm-network-control/DvmNetworkControl	refinement	dvm-network-ingress	Control lease lifetime refines network ingress generation ownership.
dvm-release-bundle/DvmReleaseBundle	evidence	boot-storage-handoff	Signed release-bundle evidence binds the exact launched DVM artifacts.
endpoint-registry/EndpointRegistry	refinement	endpoint-lifecycle	Registry publication and stale epoch rejection refine endpoint lifetime.
endpoint-receiver-wakeup/EndpointReceiverWakeup	refinement	endpoint-lifecycle	Pending-message observation and receiver-waiter publication share one endpoint-slot linearization point; a pending fast path retains no stale wake authority.
exec-ticket/ExecTicket	refinement	deferred-process-activation	Exact requester and target identity refine the activation transaction.
gui-dvm-install/GuiDvmInstall	evidence	gpu-frame-lifecycle	GUI DVM installation evidence is bound to the real provider lifecycle.
gui-dvm-pixel-authority/GuiDvmPixelAuthority	refinement	gpu-frame-lifecycle	Pixel authority and revoke refine GPU frame ownership.
gui-dvm-surface/GuiDvmSurface	refinement	gpu-frame-lifecycle	Surface bounds and generation ownership refine frame payload admission.
input-readiness/InputReadiness	refinement	input-delivery-lifecycle	Check-arm-recheck readiness refines policy queue delivery.
ipc-priority-inheritance/IpcPriorityInheritance	refinement	scheduler-dispatch	Pre-admission capacity reservation and one exact reply-bound worker target refine scheduler dependency progress without process-wide promotion.
ipc-priority-queue/IpcPriorityQueue	refinement	scheduler-dispatch	Kernel-derived priority ordering with FIFO lanes and a bounded System burst refines synchronous service progress without ordinary-call starvation.
ipc-reply-deadline/IpcReplyDeadline	refinement	ipc-call	A prepared reply-bound resource remains invisible until the exact caller completes a timely take; timeout, cancellation, peer exit, and caller exit discard it before publication.
ipc-reply-recv-transaction/IpcReplyRecvTransaction	refinement	scheduler-dispatch	Preflight-before-consume, exact caller wake custody, check-arm-recheck receive, and phase-tagged terminal errors refine one kernel-entry service reply and receive handoff.
ivshmem-pairing/IvshmemPairing	refinement	dvm-control-ingress	Exact peer pairing and disconnect refine DVM control lifetime.
kernel-resource-accounting/KernelResourceAccounting	refinement	kernel-resource-lifecycle	Owner-scoped endpoint, shared-backing, and task ceilings refine bounded kernel resource admission and reclaim.
memfd-seal-lifecycle/MemfdSealLifecycle	refinement	memory-map	Seal, mapping, resize, and release serialize shared-memory mapping authority.
netd-deferred-reply/NetdDeferredReply	refinement	netd-deferred-reply-lifecycle	One caller-owned absolute end is tightened once at service admission, never refreshed while queued or detached, and every terminal path releases its exact reply reservation.
network-payload-session/NetworkPayloadSession	refinement	dvm-network-ingress	Packet shape and session generation refine DVM network ingress.
persistent-mutation-admission/PersistentMutationAdmission	refinement	durable-block-mutation	Mutation authorization refines durable write admission.
post-init-supervisor-recovery/PostInitSupervisorRecovery	refinement	post-init-service-authority	Supervisor restart and backoff refine post-init service authority.
post-init-bootstrap-barrier/PostInitBootstrapBarrier	refinement	post-init-bootstrap-barrier	Independent service activation may overlap, but only exact PID-bound endpoint admission opens the consumer barrier.
proc-broker-session/ProcBrokerSession	refinement	deferred-process-activation	Prepare-session owner exit and cleanup refine process activation.
rootd-bootstrap/RootdBootstrap	refinement	service-bootstrap	Root bootstrap ordering refines the first service graph transition.
runtime-control-rpc/RuntimeControlRpc	refinement	runtime-control-ingress	One-response RPC settlement refines runtime-control ingress.
service-heap-lifecycle/ServiceHeapLifecycle	refinement	service-heap-lifecycle	Exact allocation ownership, release reuse, exhausted-capacity growth, and explicit failure refine long-lived service memory lifetime.
scheduler-active-balance/SchedulerActiveBalance	refinement	scheduler-dispatch	Per-source first/each-eight loaded-opportunity active balance refines exact queued source ownership and target mailbox dispatch.
scheduler-admission/SchedulerAdmission	refinement	scheduler-dispatch	Strict-class admission refines scheduler dispatch authority.
scheduling-context-budget/SchedulingContextBudget	refinement	scheduler-dispatch	Bounded per-context and per-domain budgets, exact reply custody, root-context propagation through nested passive servers, latest-token billing, and terminal restoration refine scheduler dispatch accounting.
scheduler-cpu-distribution/SchedulerCpuDistribution	refinement	scheduler-dispatch	Bounded class and handoff bursts plus least-vruntime User selection refine dispatch fairness without an unadmitted wall-clock promise.
scheduler-thread-demotion/SchedulerThreadDemotion	refinement	scheduler-dispatch	Base-class demotion, terminal bootstrap-reply custody, and donation preservation refine effective class.
scheduler-wakeup/SchedulerWakeup	refinement	scheduler-lifecycle	Arm, token-only wake of a running task with no published frame, blocked-frame wake, owner-word run intent across Local/Running/Migrating states, atomic commit-reschedule, exact dispatch, waiter cleanup before timer acknowledgement, cancel, and retire refine task wait lifetime.
msi-vector-lifecycle/MsiVectorLifecycle	refinement	msi-vector-ingress	Lease, exact handler bind, revocable commit, route, final provider publication, permanent retention, and atomic failed-publication rollback refine MSI-X authority lifetime.
smp-release-admission/SmpReleaseAdmission	refinement	smp-release-admission	All-or-nothing multi-vCPU prerequisite admission prevents configuration from masquerading as SMP evidence.
smp-ring3-qualification/SmpRing3Qualification	refinement	smp-ring3-qualification	Injector-owned private launch provenance refines UI-independent catalog admission, the closed UI-server-or-private pre-UI exception, runtimed bind-before-activate/failed-spawn retirement, kernel-only SESSIOND epoch plus owner/target process-MM identity, deferred authority carrying qualification-required, lock-linearized absolute deadline, Ready/Start/Finish/Complete FSM, encoded binding-id/work, endpoint revalidation, and cleanup before PID reuse. Host evidence refines only kernel-stamped PID/TID and encoded binding/work, never kernel generations.
smp-reschedule-ipi/SmpRescheduleIpi	refinement	smp-reschedule-ipi-lifecycle	A packed per-CPU pending-generation word, exact CAS claim, coalesced non-self notification, locked custody, and terminal consumption refine cross-CPU rescheduling.
scheduler-cpu-ownership/SchedulerCpuOwnership	refinement	scheduler-cpu-ownership	CPU-local current-task uniqueness, two-phase incoming reservation, outgoing-stack retention through the assembly RSP switch, exact blocked-transition wake mailbox custody, IRQ-atomic pending-to-held acquisition, exact preemption-unit accounting, guard pinning, safe one-shot dispatch, and fail-closed invalid release refine scheduler execution ownership.
bootstrap-activation-handoff/BootstrapActivationHandoff	refinement	bootstrap-activation-handoff	Bounded FIFO activation retention, stale removal, overdue-turn preservation, and exact first dispatch refine supervisor-committed child handoff.
synchronous-ipc-handoff/SynchronousIpcHandoff	refinement	scheduler-dispatch	Call enqueue and one Scheduler reply transaction refine an exact post-drop token; only matching task ID, run-owner generation, target CPU, runnable state, and Local/RemoteQueued custody may enter the captured CPU FIFO. Running and Migrating owners stay runnable for their own lifecycle but cannot nominate direct handoff until custody changes. Selection is stricter: it consumes a live RemoteQueued head without dispatch and requires exact Local custody on that CPU. Stale tokens lose urgency without fallback, a fresh reply generation replaces stale same-task custody in place, and each CPU's forced fairness turn preserves FIFO progress.
synchronous-ipc-handoff-concurrency/SynchronousIpcHandoffConcurrency	refinement	scheduler-dispatch	Two independently serialized Scheduler reply wakes refine coexisting exact tokens whose Begin/Finish publication may interleave on either CPU FIFO. Publication accepts only captured task ID, generation, target CPU, runnable, and Local or RemoteQueued custody; runnable Running and Migrating owners are explicitly rejected. Selection consumes RemoteQueued or stale heads without dispatch, requires exact Local custody, and retirement purges the slot from every FIFO without fallback.
tlb-shootdown-lifecycle/TlbShootdownLifecycle	refinement	tlb-shootdown-lifecycle	Explicit task/slot/process references, CR3-before-active-root publication, exact matching-root targets, exact acknowledgements, and terminal root retirement refine address-space translation lifetime.
cross-cpu-task-retirement/CrossCpuTaskRetirement	refinement	cross-cpu-task-retirement	Process exec sealing, remote target quiescence, sibling retirement, generation replacement, final shootdown, and reclaim refine cross-CPU process lifetime.
robust-futex-owner-death/RobustFutexOwnerDeath	refinement	thread-exit-futex-cleanup	Aligned user-word admission, atomic owner-death compare-exchange, bounded retry, release clear_child_tid store, and post-publication wake refine Linux thread-exit cleanup.
per-cpu-clockevent-lifecycle/PerCpuClockeventLifecycle	refinement	per-cpu-clockevent-lifecycle	Local timer programming before AP Online, deadline delivery, strict-future rearm, scheduler turn, and local EOI refine per-CPU preemption.
syscall-simd-lifecycle/SyscallSimdLifecycle	refinement	syscall-simd-lifecycle	Exact user SIMD and syscall-entry-frame ownership, published kernel continuation lifetime, post-resume SYSRET validation, and owner-only return refine the complete syscall transition.
syscall-scheduler-continuation/SyscallSchedulerContinuation	refinement	syscall-simd-lifecycle	Atomic arm-race-or-publish, blocked wake, dispatch consumption, retained syscall frame, and post-resume validation compose scheduler and syscall lifetime.
sigchld-notification/SigchldNotification	refinement	process-signal-lifecycle	Coalesced stop continue and exit causes refine process-directed SIGCHLD delivery and SA_NOCLDSTOP suppression.
trusted-ui-boundary/TrustedUiBoundary	refinement	wayland-client-ingress	Trusted prompt authority refines untrusted client ingress.
ui-frame-budget/UiFrameBudget	refinement	gpu-frame-lifecycle	Main-loop budget and worker isolation refine frame progress.
ui-main-loop-wakeup/UiMainLoopWakeup	refinement	gpu-frame-lifecycle	Atomic input-or-deadline wakeup refines idle main-loop progress.
ui-input-motion/UiInputMotion	refinement	input-delivery-lifecycle	Motion coalescing and bounded delivery refine input lifecycle.
input-ingestion-worker/InputIngestionWorker	refinement	input-delivery-lifecycle	Retained session-authority batches and one aggregate absolute deadline with remaining-budget child calls refine authenticated input delivery.
userspace-wait-set/UserspaceWaitSet	refinement	waitset	Exact provider/object check-arm-recheck and generation/epoch observation refine generic wait-set readiness without cross-object wakes.
userspace-wait-set/WaitSetRegistry	refinement	waitset	Bounded vfsd epoll-object admission, per-object/global interest caps, and all-or-nothing checkpoint restore refine durable wait-set registry ownership.
wayland-accept-isolation/WaylandAcceptIsolation	refinement	wayland-client-ingress	Listener readiness admission, bounded accepted-stream ownership, overload rejection, and UI-independent accept progress refine untrusted Wayland client ingress.
service-mutation-recovery/ServiceMutationRecovery	refinement	waitset	Exact replay-safe epoll control mutations and retained checkpoint state refine persistent interest-list admission and cleanup.
vfio-release-authorization/VfioReleaseAuthorization	refinement	boot-storage-handoff	Exact release authorization refines VFIO handback.
wayland-frame-pacing/WaylandFramePacing	refinement	gpu-frame-lifecycle	Coalesced presentation and callback permits refine frame completion.
rootd-bootstrap/RootdBootstrap	refinement	commercial-product-boot	Root bootstrap readiness refines the first absolute product boot deadline.
input-ingestion-worker/InputIngestionWorker	refinement	commercial-product-boot	Authenticated policy-consumer readiness refines the interactive input milestone.
dvm-display-readiness/DvmDisplayReadiness	refinement	commercial-product-boot	Generation-bound display admission refines the interactive provider milestone.
dvm-block-startup/DvmBlockStartup	refinement	commercial-product-boot	Generation-bound block readiness refines both product boot topologies.
product-boot/ProductBoot	refinement	commercial-product-boot	Sealed snapshot, active image, and first-frame authority chain refine the interactive product boot terminal.
ui-frame-budget/UiFrameBudget	refinement	commercial-product-boot	The first presented frame refines the user-visible interactive terminal.
ui-main-loop-wakeup/UiMainLoopWakeup	refinement	commercial-product-boot	Consecutive active UI windows require input and monotonic deadline wakes to remain live.
acceptance-profile-publication/AcceptanceProfilePublication	refinement	commercial-product-boot	Bounded late registry observation refines acceptance-profiler activation without hot-path polling or permanent negative caching.
exec-address-space-transaction/ExecAddressSpaceTransaction	refinement	process-address-space-lifecycle	Scheduler reservation, ProcessState staging, raw-lock publication, exit-pending latch, and final visibility form one non-nested exec transaction.
process-lifecycle-transaction/ProcessLifecycleTransaction	refinement	process-lifecycle-transaction	One non-reusable transaction namespace binds process slot generation and MM generation across spawn exec exit reap; unpublished frame batches roll back exactly and published frames survive until every task reference reply fault and TLB authority settles.
page-table-map-transaction/PageTableMapTransaction	refinement	memory-map	Intermediate page-table publication is commit-logged and a failed mapping restores exact topology before one shootdown and frame reclaim.
page-cache-lifecycle/PageCacheLifecycle	refinement	page-cache-lifecycle	One backing-generation key owns each bounded load; private COW preserves the shared-clean source, dirty pages require exact writeback, and frame release follows exact TLB acknowledgement.
pager-frame-grant-lifecycle/PagerFrameGrantLifecycle	refinement	pager-frame-grant-lifecycle	Kernel-owned physical frames cross the pager boundary only as generation-bound opaque grants and transfer exactly once after full fault binding and rights revalidation.
pager-fault-slot-lifecycle/PagerFaultSlotLifecycle	refinement	pager-fault-slot-lifecycle	A fixed all-atomic pager-fault slot publishes an exact request and endpoint, reaches BlockedOnPager only through a fused scheduler handoff, and allows one reply or cancellation winner without exception-time allocation or lock lookup.
pager-vma-publication/PagerVmaPublication	refinement	pager-vma-publication	One all-atomic sequence publication binds an exact live process MM and VMA generation; exception-time lookup is bounded, lock-free, permission-checked, and revoke-aware.
gpu-submit-transaction/GpuSubmitTransaction	refinement	gpu-frame-lifecycle	Compiler checkpoint, transport acceptance, exact rejection rollback, and full retry refine GPU producer publication.
user-stack-growth/UserStackGrowth	refinement	exception-retirement	Release stacks eagerly map every usable page above a permanent guard before publication; no lazy-growth exception transaction exists in the enabled topology.
