# id	severity	class	owner	disruption	expected_terminal	max_ms	package	features	target	test	source
checkpoint-after-commit	critical	checkpoint	rootd	after-commit	idempotent-replay	30000	rootd	host-test	all	exact_retry_is_idempotent_and_stale_retry_cannot_rollback	services/rootd/src/service_checkpoint.rs
checkpoint-before-commit	critical	checkpoint	rootd	before-commit	no-visible-child-state	30000	rootd	host-test	all	parent_tombstone_atomically_revokes_children	services/rootd/src/service_checkpoint.rs
checkpoint-partial-record	critical	checkpoint	vfsd	partial-record	rejected-without-restore	30000	vfsd	-	lib	checkpoint_wire_rejects_unknown_or_noncanonical_state	services/vfsd/src/lib.rs
checkpoint-stale-replay	critical	checkpoint	rootd	stale-replay	no-key-reuse-reclamation	30000	rootd	host-test	all	stale_compaction_proof_cannot_reclaim_a_reused_key	services/rootd/src/service_checkpoint.rs
service-restart-endpoint	critical	service-restart	kernel-compat	restart	new-owner-epoch	30000	kernel-compat	-	lib	service_endpoint_epoch_changes_on_every_publication_boundary	kernel/compat/src/user/syscall/linux/ipc_ops.rs
service-restart-stale-owner	critical	service-restart	kernel-compat	stale-replay	rejected-owner-snapshot	30000	kernel-compat	-	lib	stable_service_endpoint_snapshot_rejects_revoked_owners	kernel/compat/src/user/syscall/linux/ipc_ops.rs
service-restart-vfs-provider	critical	service-restart	vfsd	restart	same-registration-new-epoch	30000	vfsd	-	lib	provider_restart_updates_epoch_without_duplicating_registration_identity	services/vfsd/src/lib.rs
storage-after-commit	critical	storage	kernel-io-manager	after-commit	exact-durability-completion	30000	kernel-io-manager	-	lib	request_and_completion_bind_exact_slot_epoch_and_durability	kernel/io-manager/src/io/dvm_block.rs
storage-before-commit	critical	storage	kernel-io-manager	before-commit	no-ring-publication	30000	kernel-io-manager	-	lib	fault_points_cover_reads_mutations_and_durability	kernel/io-manager/src/io/dvm_block.rs
storage-restart	critical	storage	kernel-io-manager	restart	stale-completion-revokes	30000	kernel-io-manager	-	lib	stale_completion_revokes_the_transport	kernel/io-manager/src/io/dvm_block.rs
storage-stale-generation	critical	storage	storaged	stale-replay	rejected-before-submit	30000	storaged	-	all	stale_io_generation_is_rejected_before_a_dvm_submission	services/storaged/src/main.rs
storage-timeout-cancel	critical	storage	kernel-io-manager	timeout	slot-retained-until-completion	30000	kernel-io-manager	-	lib	cancellation_keeps_the_slot_owned_until_the_exact_completion	kernel/io-manager/src/io/dvm_block.rs
