ecosystem,repository,number,title,outcome,review_theme,reason_confirmed,reason_note,url
QubesOS,QubesOS/qubes-core-admin,843,q-dev: fix and unify device detach on frontend shutdown,merged,driver_storage_network,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/843
QubesOS,QubesOS/qubes-core-admin,804,tests: Add an environment sync test to TC_20_NonAudio,merged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/804
QubesOS,QubesOS/qubes-core-admin,803,reject invalid port 65536,merged,security_memory_safety,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/803
QubesOS,QubesOS/qubes-core-admin,853,Update from dev.qubes-os.org to doc.qubes-os.org,merged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/853
QubesOS,QubesOS/qubes-core-admin,854,Format files with black 26.5.1,merged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/854
QubesOS,QubesOS/qubes-core-admin,787,Speed disposable performance tests without a GUI,merged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/787
QubesOS,QubesOS/qubes-core-admin,850,Skip RemoteVM when suspending the system,merged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/850
QubesOS,QubesOS/qubes-core-admin,836,reflink: minor style tweaks,merged,driver_storage_network,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/836
QubesOS,QubesOS/qubes-core-admin,835,"Allow all storage drivers to shrink volumes, like file-reflink",merged,abi_lifecycle,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/835
QubesOS,QubesOS/qubes-core-admin,851,Call stop_encrypted() even for nominally unencrypted volumes,merged,abi_lifecycle,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/851
QubesOS,QubesOS/qubes-core-admin,845,Allow shutdown to kill preloads without force,merged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/845
QubesOS,QubesOS/qubes-core-admin,847,Cleanup disposable on failed startup,merged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/847
QubesOS,QubesOS/qubes-core-admin,800,replace random with secrets,merged,security_memory_safety,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/800
QubesOS,QubesOS/qubes-core-admin,796,Close qmemman client with correct handler,merged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/796
QubesOS,QubesOS/qubes-core-admin,757,Wait for user session for preloaded disposables,merged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/757
QubesOS,QubesOS/qubes-core-admin,806,tests: use dom0's version for installing templates via mgmtvm,merged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/806
QubesOS,QubesOS/qubes-core-admin,846,Fix devices handling with RemoteVM present,merged,driver_storage_network,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/846
QubesOS,QubesOS/qubes-core-admin,844,Set fail_on_warning to true,merged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/844
QubesOS,QubesOS/qubes-core-admin,837,Fix documentation warning,merged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/837
QubesOS,QubesOS/qubes-core-admin,842,tests: reduce maxmem of HVM when running in nested virt,merged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/842
QubesOS,QubesOS/qubes-core-admin,798,devices: prevent attaching devices to dom0 without --force flag,closed_unmerged,driver_storage_network,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/798
QubesOS,QubesOS/qubes-core-admin,479,Allow volume shrinking,closed_unmerged,abi_lifecycle,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/479
