# model	class	deadlock_policy	deadlock_reason	pr_timeout_s	nightly_timeout_s	nightly_mode	apalache	tlaps	trace
authority-identity-lifecycle/AuthorityIdentityLifecycle	safety	intentional-terminal	bounded identity namespace may exhaust	30	120	exhaustive	no	no	no
capability-derivation-lifecycle/CapabilityDerivationLifecycle	safety	check	explicit rejection and terminal revoke states stutter while typed rights attenuation and independent epochs remain explicit	30	120	exhaustive	no	no	no
atomic-process-activation-batch/AtomicProcessActivationBatch	safety	check	committed rejected and requester-exit terminals stutter while full target identities and all-or-nothing activation remain explicit	30	120	exhaustive	no	no	no
cpu-affinity-observation/CpuAffinityObservation	safety	check	reply and rejection terminals stutter while exact online-mask publication remains explicit	30	120	exhaustive	no	no	no
task-affinity-lifecycle/TaskAffinityLifecycle	safety	check	rejected affinity requests stutter while successful changes retain explicit migration fork and exec progress	30	120	exhaustive	no	no	no
acpi-table-admission/AcpiTableAdmission	safety	intentional-terminal	malformed firmware selects no partial ECAM or HPET authority	30	120	exhaustive	no	no	no
cpu-topology-admission/CpuTopologyAdmission	safety	check	terminal admission states stutter so deadlock checking remains enabled	30	120	exhaustive	no	no	no
cpu-online-lifecycle/CpuOnlineLifecycle	safety	check	all-failed terminal state stutters so deadlock checking remains enabled	30	120	exhaustive	no	no	no
smp-reschedule-ipi/SmpRescheduleIpi	temporal	check	critical-section exit must flush every exact target custody bit and every published request must reach a safe dispatch	30	120	exhaustive	no	no	no
scheduler-cpu-ownership/SchedulerCpuOwnership	safety	check	fail-closed invalid attempts and ordinary acquire release dispatch transitions all retain enabled stutter or progress	30	120	exhaustive	no	no	no
bootstrap-activation-handoff/BootstrapActivationHandoff	safety	check	terminal and duplicate-activation stutter preserves deadlock checking while bounded FIFO ownership remains explicit	30	120	exhaustive	no	no	no
ipc-fast-handoff/IpcFastHandoff	safety	check	all terminal states stutter while exact endpoint receive identity atomic sender receiver transfer and single direct or local runnable custody remain explicit	30	120	exhaustive	no	no	no
synchronous-ipc-handoff/SynchronousIpcHandoff	safety	check	explicit terminal stutter preserves deadlock checking while one Scheduler reply transaction, post-drop exact token publication, stale-token discard, in-place generation refresh, and bounded FIFO custody remain explicit	30	120	exhaustive	no	no	no
synchronous-ipc-handoff-concurrency/SynchronousIpcHandoffConcurrency	safety	check	explicit terminal stutter preserves deadlock checking while two independent Scheduler reply wakes, per-task Begin/Finish publication, exact Local or RemoteQueued custody, cross-CPU FIFO retention, and retirement purge remain explicit	30	120	exhaustive	no	no	no
tlb-shootdown-lifecycle/TlbShootdownLifecycle	safety	check	explicit reclaimed terminal state stutters so deadlock checking remains enabled	30	120	exhaustive	no	no	no
cross-cpu-task-retirement/CrossCpuTaskRetirement	safety	check	reclaimed and fail-closed timeout terminals stutter while ownership invariants remain checked	30	120	exhaustive	no	no	no
robust-futex-owner-death/RobustFutexOwnerDeath	safety	check	completed and rejected cleanup terminals stutter while atomic publication invariants remain checked	30	120	exhaustive	no	no	no
per-cpu-clockevent-lifecycle/PerCpuClockeventLifecycle	safety	check	bounded time terminal stutters after all delivered per-CPU events complete	30	120	exhaustive	no	no	no
root-authority-publication/RootAuthorityPublication	safety	intentional-terminal	root namespace publication may revoke or exhaust	30	120	exhaustive	no	no	no
service-call-authority/ServiceCallAuthority	safety	intentional-terminal	service endpoint publication may revoke or exhaust	30	120	exhaustive	no	no	no
boot-storage-handoff/BootStorageHandoff	safety	intentional-terminal	handoff reaches DVM readiness, ordered host restoration, or quarantine	120	900	exhaustive	no	no	no
commercial-service-envelope/CommercialServiceEnvelope	temporal	intentional-terminal	commercial call admits an exact reply or reaches explicit error, timeout, or peer-close	120	900	exhaustive	no	no	no
entropy-broker-boundary/EntropyBrokerBoundary	temporal	intentional-terminal	boot entropy fails closed or an authorized bounded request serves private master output	120	900	exhaustive	no	no	no
dvm-volume-io/DvmVolumeIo	temporal	intentional-terminal	DVM request completes or preserves a bounded failure outcome	120	900	exhaustive	no	no	no
dvm-read-cache/DvmReadCache	temporal	intentional-terminal	cache request serves exact live data, rejects stale generation, or clears on mutation/restart	120	900	exhaustive	no	no	no
remote-file-mapping/RemoteFileMapping	safety	intentional-terminal	exact file bytes commit or the mapping aborts without fallback or zero fill	120	900	exhaustive	no	no	no
syscall-simd-lifecycle/SyscallSimdLifecycle	safety	intentional-terminal	syscall return restores the entering task image or remains blocked	120	900	exhaustive	no	no	no
syscall-scheduler-continuation/SyscallSchedulerContinuation	safety	check	explicit returned or retired terminal stutter preserves deadlock checking	120	900	exhaustive	no	no	no
pci-bar-discovery/PciBarDiscovery	safety	intentional-terminal	BAR discovery publishes one restored valid resource or rejects it	120	900	exhaustive	no	no	no
physical-frame-lifecycle/PhysicalFrameLifecycle	safety	check	explicit all-reserved terminal stutter preserves deadlock checking	120	900	exhaustive	no	no	no
clocksource-deadline/ClocksourceDeadline	temporal	intentional-terminal	retired or released waits are terminal	120	900	exhaustive	no	no	no
deferred-start/DeferredStart	temporal	intentional-terminal	launch outcome is terminal	120	900	exhaustive	no	no	no
devmgrd-sessiond-isolation/DevmgrdSessiondIsolation	temporal	intentional-terminal	bounded request outcome is terminal	120	900	exhaustive	no	no	no
dma-iommu-isolation/DmaIommuIsolation	safety	intentional-terminal	revoked domain outcome is terminal	120	900	exhaustive+simulate	no	no	no
driver-domain-fleet/DriverDomainFleet	safety	intentional-terminal	fleet admission outcome is terminal	120	900	exhaustive	no	no	no
dual-abi-byte-parser/DualAbiByteParser	temporal	intentional-terminal	parser admission outcome is terminal	120	900	exhaustive	no	no	no
dual-abi-image-admission/DualAbiImageAdmission	temporal	intentional-terminal	image admission outcome is terminal	120	900	exhaustive	no	no	no
dvm-absolute-pointer/DvmAbsolutePointer	temporal	intentional-terminal	bounded input session may terminate	120	900	exhaustive	no	no	no
dvm-agent-readiness/DvmAgentReadiness	temporal	intentional-terminal	readiness publication may terminate	120	900	exhaustive	no	no	no
dvm-amdgpu-evidence/DvmAmdgpuEvidence	safety	intentional-terminal	evidence decision is terminal	120	900	exhaustive	no	no	no
dvm-amdgpu-supply/DvmAmdgpuSupply	safety	intentional-terminal	driver supply decision is terminal	120	900	exhaustive	no	no	no
dvm-atomic-scanout/DvmAtomicScanout	safety	intentional-terminal	display epoch may revoke	120	900	exhaustive+simulate	no	no	no
dvm-block-transport/DvmBlockTransport	safety	intentional-terminal	transport epoch may restart or exhaust its bounded request space	120	900	exhaustive	no	no	no
dvm-block-startup/DvmBlockStartup	safety	intentional-terminal	startup reaches generation readiness, bounded timeout, or revoke	120	900	exhaustive	no	no	yes
deferred-process-activation/DeferredProcessActivation	safety	intentional-terminal	deferred target may activate revoke or exit	120	900	exhaustive	no	no	no
loader-request-authority/LoaderRequestAuthority	safety	intentional-terminal	privileged loader request commits or is denied after role revalidation	30	120	exhaustive	no	no	no
dvm-commercial-lifecycle/DvmCommercialLifecycle	safety	intentional-terminal	lease lifecycle may quarantine or stop	120	900	exhaustive+simulate	no	no	no
dvm-control-endpoint/DvmControlEndpoint	temporal	intentional-terminal	control setup outcome is terminal	120	900	exhaustive	no	no	no
dvm-control-relay/DvmControlRelay	temporal	intentional-terminal	control session may close	120	900	exhaustive	no	no	no
dvm-display-driver-supply/DvmDisplayDriverSupply	safety	intentional-terminal	driver supply decision is terminal	120	900	exhaustive	no	no	no
dvm-display-readiness/DvmDisplayReadiness	temporal	intentional-terminal	display readiness may revoke	120	900	exhaustive	no	no	yes
dvm-display-scheduler/DvmDisplayScheduler	temporal	intentional-terminal	scheduler admission may fail terminally	120	900	exhaustive	no	no	no
dvm-gpu-admission/DvmGpuAdmission	temporal	intentional-terminal	GPU admission may reject or revoke	120	900	exhaustive	no	no	no
dvm-gpu-atlas-transport/DvmGpuAtlasTransport	safety	intentional-terminal	transport epoch may revoke	120	900	exhaustive	no	no	no
dvm-gpu-compositor/DvmGpuCompositor	temporal	intentional-terminal	compositor epoch may revoke	300	1200	exhaustive	no	no	no
dvm-gpu-proof-scheduler/DvmGpuProofScheduler	temporal	intentional-terminal	measurement process terminates	120	900	exhaustive	no	no	no
dvm-input-revocation/DvmInputRevocation	safety	intentional-terminal	input session may end	120	900	exhaustive	no	no	no
dvm-input-ring/DvmInputRing	temporal	intentional-terminal	ring epoch may revoke	120	900	exhaustive	no	no	no
dvm-input-selftest/DvmInputSelftest	temporal	intentional-terminal	selftest process terminates	120	900	exhaustive	no	no	no
dvm-network-control/DvmNetworkControl	safety	intentional-terminal	network session may end	120	900	exhaustive	no	no	no
dvm-network-ring/DvmNetworkRing	safety	intentional-terminal	ring epoch may revoke	120	900	exhaustive	no	no	no
dvm-transport-lifecycle/DvmTransportLifecycle	temporal	check	revoked transport remains terminal while drain settles exact claims	30	120	exhaustive	no	no	no
dvm-release-bundle/DvmReleaseBundle	safety	intentional-terminal	bundle admission decision is terminal	120	900	exhaustive	no	no	no
early-system-admission/EarlySystemAdmission	safety	intentional-terminal	bootstrap admission reaches DVM storage readiness or fails closed	120	900	exhaustive	no	no	no
endpoint-publication/EndpointPublication	safety	intentional-terminal	publisher process may exit	120	900	exhaustive	no	yes	no
endpoint-registry/EndpointRegistry	temporal	intentional-terminal	endpoint wait may settle terminally	120	900	exhaustive	no	no	no
endpoint-receiver-wakeup/EndpointReceiverWakeup	safety	check	explicit terminal stutter preserves deadlock checking	30	120	exhaustive	no	no	no
exception-retirement-lifecycle/ExceptionRetirementLifecycle	temporal	intentional-terminal	exception outcome is terminal	120	900	exhaustive	no	no	no
exec-ticket/ExecTicket	safety	intentional-terminal	ticket outcome is terminal	120	900	exhaustive+simulate	yes	no	no
filesystem-content-integrity/FilesystemContentIntegrity	temporal	intentional-terminal	verified read decision is terminal	120	900	exhaustive	no	no	no
futex-waiter-lifecycle/FutexWaiterLifecycle	temporal	intentional-terminal	waiter wake timeout or retirement cleanup is terminal	30	120	exhaustive	no	no	no
gui-dvm-install/GuiDvmInstall	temporal	intentional-terminal	install decision is one-shot	120	900	exhaustive	no	no	no
gui-dvm-pixel-authority/GuiDvmPixelAuthority	safety	intentional-terminal	pixel authority epoch may revoke	120	900	exhaustive	no	no	no
gui-dvm-surface/GuiDvmSurface	temporal	intentional-terminal	surface epoch may revoke	120	900	exhaustive	no	no	no
input-ingestion-worker/InputIngestionWorker	temporal	intentional-terminal	worker session may revoke	120	900	exhaustive	no	no	yes
input-readiness/InputReadiness	temporal	intentional-terminal	readiness wait may settle terminally	120	900	exhaustive	no	no	no
ipc-endpoint-ownership/IpcEndpointOwnership	safety	intentional-terminal	message or owner may terminate	120	900	exhaustive	no	no	no
ipc-handle-transfer/IpcHandleTransfer	safety	intentional-terminal	transfer outcome is terminal	120	900	exhaustive+simulate	yes	no	no
ipc-priority-inheritance/IpcPriorityInheritance	safety	intentional-terminal	IPC call may resolve or cancel	120	900	exhaustive	no	no	no
ipc-priority-queue/IpcPriorityQueue	safety	check	all-delivered terminal state stutters while priority selection remains explicit	30	120	exhaustive	no	no	no
ipc-reply-recv-transaction/IpcReplyRecvTransaction	safety	check	explicit success and phase-aware error terminals stutter while reply consumption and receive wake custody remain explicit	30	120	exhaustive	no	no	no
ipc-reply-deadline/IpcReplyDeadline	temporal	intentional-terminal	IPC wait outcome is terminal	120	900	exhaustive	no	no	no
ipc-transfer-authority/IpcTransferAuthority	temporal	check	installed and released terminals stutter while exact ownership remains checked	120	900	exhaustive	no	no	no
ivshmem-pairing/IvshmemPairing	temporal	intentional-terminal	peer pairing may disconnect	120	900	exhaustive	no	no	no
kernel-resource-accounting/KernelResourceAccounting	temporal	intentional-terminal	deferred backing reclaim eventually returns exact owner quota	30	120	exhaustive	no	no	no
memfd-seal-lifecycle/MemfdSealLifecycle	safety	intentional-terminal	sealed object may retain stable mappings	30	120	exhaustive	no	no	no
msi-vector-lifecycle/MsiVectorLifecycle	safety	intentional-terminal	failed vector leases revoke before bounded committed pool reuse	30	120	exhaustive	no	no	no
netd-deferred-reply/NetdDeferredReply	temporal	intentional-terminal	deferred request resolves or is rejected	30	120	exhaustive	no	no	no
network-payload-session/NetworkPayloadSession	safety	intentional-terminal	payload decision is terminal	120	900	exhaustive	no	no	no
page-cache-lifecycle/PageCacheLifecycle	safety	check	explicit terminal stutter preserves bounded load COW writeback and reclaim progress	30	120	exhaustive	no	no	no
pager-frame-grant-lifecycle/PagerFrameGrantLifecycle	safety	check	explicit terminal stutter preserves generation-bound one-shot frame custody	30	120	exhaustive	no	no	no
pager-fault-slot-lifecycle/PagerFaultSlotLifecycle	safety	check	explicit terminal stutter preserves fixed allocation-free fault custody and one-shot reply authority	30	120	exhaustive	no	no	no
pager-region-agreement/PagerRegionAgreement	safety	check	explicit refusal and retry states stutter while both replicas keep every faultable address backed	30	120	exhaustive	no	no	no
pager-vma-publication/PagerVmaPublication	safety	check	explicit stable and exhausted terminals preserve bounded all-atomic publication checking	30	120	exhaustive	no	no	no
page-table-lifecycle/PageTableLifecycle	safety	intentional-terminal	mapping lifecycle may complete	120	900	exhaustive	no	no	no
page-table-map-transaction/PageTableMapTransaction	temporal	check	retired terminal stutters once leaves settle and root descriptors plus directory tags reconcile	30	120	exhaustive	no	no	no
persistent-mutation-admission/PersistentMutationAdmission	safety	intentional-terminal	mutation admission decision is terminal	30	120	exhaustive	no	no	no
post-init-leases/PostInitLeases	safety	intentional-terminal	service lease may terminate	120	900	exhaustive	no	no	no
post-init-bootstrap-barrier/PostInitBootstrapBarrier	safety	check	consumer success failure and fail-closed early admission stutter while exact endpoint ownership remains checked	30	120	exhaustive	no	no	no
service-mutation-recovery/ServiceMutationRecovery	safety	check	explicit terminal stutter preserves deadlock checking	120	900	exhaustive	no	no	no
vfs-open-description-recovery/VfsOpenDescriptionRecovery	safety	intentional-terminal	bounded open-description sequence may terminate	120	900	exhaustive	no	no	no
post-init-supervisor-recovery/PostInitSupervisorRecovery	temporal	intentional-terminal	recovery outcome may terminate	120	900	exhaustive	no	no	no
proc-broker-session/ProcBrokerSession	safety	intentional-terminal	prepare session outcome is terminal	120	900	exhaustive	no	no	no
process-address-space-lifetime/ProcessAddressSpaceLifetime	temporal	intentional-terminal	process state may exit and reclaim	30	120	exhaustive	no	no	no
process-signal-delivery/ProcessSignalDelivery	safety	intentional-terminal	signal disposition may terminate the process	30	120	exhaustive	no	no	no
sigchld-notification/SigchldNotification	safety	check	toggle and queue actions keep the coalescing protocol live	30	120	exhaustive	no	no	no
rootd-bootstrap/RootdBootstrap	temporal	intentional-terminal	bootstrap outcome is terminal	120	900	exhaustive	no	no	yes
service-bootstrap-lifecycle/ServiceBootstrapLifecycle	temporal	intentional-terminal	service entry or dependency admission reaches an exact terminal outcome	120	900	exhaustive	no	no	no
service-heap-lifecycle/ServiceHeapLifecycle	safety	check	explicit terminal allocation-failure stutter preserves deadlock checking	30	120	exhaustive	no	no	no
rootd-restart-backoff/RootdRestartBackoff	temporal	intentional-terminal	restart budget may terminate	120	900	exhaustive	no	no	no
runtime-control-rpc/RuntimeControlRpc	safety	intentional-terminal	one response resolves the RPC	120	900	exhaustive	no	no	yes
runtime-control-authority/RuntimeControlAuthority	safety	intentional-terminal	control request is admitted or denied	30	120	exhaustive	no	no	no
scheduler-active-balance/SchedulerActiveBalance	temporal	check	loaded opportunity, mailbox drain, and target dispatch remain live under explicit fairness	30	120	exhaustive	no	no	no
scheduler-admission/SchedulerAdmission	temporal	intentional-terminal	admission decision is terminal	120	900	exhaustive	no	no	no
scheduling-context-budget/SchedulingContextBudget	safety	intentional-terminal	bounded clock and reply namespace may terminate	120	900	exhaustive	no	no	no
scheduler-cpu-distribution/SchedulerCpuDistribution	temporal	intentional-terminal	bounded schedule may stop	120	900	exhaustive+simulate	no	no	no
scheduler-thread-demotion/SchedulerThreadDemotion	safety	intentional-terminal	thread restoration may terminate	120	900	exhaustive	no	no	no
scheduler-wakeup/SchedulerWakeup	temporal	intentional-terminal	retired task outcome is terminal	120	900	exhaustive	no	no	no
